                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.1676,                 0.9476,                 1.4529,                0.64298,                0.63031,                0.65694,                0.37022,                  1.514,                 1.3026,                  1.885,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.1763,                0.96256,                 1.4669,                0.65341,                0.62781,                0.67281,                0.37667,                 1.5035,                 1.2656,                 1.8756,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.1824,                0.95835,                 1.4691,                0.65489,                0.60949,                0.64637,                0.37333,                  1.485,                 1.2763,                 1.8521,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.1733,                0.94842,                 1.4615,                0.63193,                 0.6428,                0.66291,                0.37531,                 1.5073,                 1.2743,                 1.8767,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.1705,                0.95112,                 1.4606,                0.68902,                0.58868,                0.65972,                0.37634,                 1.5033,                 1.2699,                 1.8848,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.1715,                 0.9528,                 1.4608,                0.66499,                0.61032,                0.66064,                0.36587,                 1.4934,                 1.2978,                 1.8366,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.1705,                0.95805,                  1.444,                0.62238,                0.65597,                0.65369,                0.36368,                  1.509,                 1.3136,                 1.8827,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.1591,                0.93405,                 1.4366,                0.66008,                0.62614,                0.66103,                0.37836,                 1.4671,                 1.2822,                 1.8503,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.1507,                0.93254,                 1.4402,                0.65024,                0.62948,                0.64958,                0.36149,                 1.5204,                 1.3079,                 1.8748,               0.008911,               0.008911,               0.008911
                    112,                 1.1643,                0.93949,                 1.4438,                0.66416,                 0.6109,                0.65947,                0.36566,                 1.5127,                  1.299,                 1.8927,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.1546,                0.92571,                 1.4322,                0.64329,                 0.6403,                0.66683,                0.37174,                 1.5004,                 1.2704,                   1.89,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.1439,                0.90933,                 1.4289,                 0.6586,                0.61682,                0.66379,                0.37117,                  1.513,                  1.281,                  1.903,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.1426,                0.90864,                 1.4261,                0.64641,                0.61865,                0.65212,                0.36848,                  1.495,                 1.2896,                 1.8775,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.1491,                0.91603,                 1.4403,                0.67477,                0.59117,                0.64498,                0.36297,                 1.4809,                 1.2899,                 1.8559,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.1423,                0.91371,                 1.4222,                0.66518,                0.63031,                 0.6706,                0.37964,                 1.4913,                 1.2555,                 1.8686,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.1296,                0.90209,                 1.4242,                0.62544,                0.65695,                0.67033,                0.37154,                  1.491,                 1.2597,                 1.8728,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.1226,                0.89456,                 1.4292,                0.67794,                0.60866,                0.66704,                0.37423,                 1.5163,                 1.2558,                 1.9103,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.1345,                 0.8981,                 1.4354,                0.64653,                0.63863,                0.65909,                0.36766,                 1.5198,                 1.2771,                 1.9085,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.1392,                0.90136,                 1.4261,                0.66007,                 0.6353,                0.66593,                0.37372,                 1.5116,                 1.2822,                 1.8921,               0.008812,               0.008812,               0.008812
                    122,                 1.1424,                0.90257,                 1.4277,                0.66767,                0.61394,                0.66346,                0.38135,                 1.4996,                 1.2913,                 1.8921,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.1098,                0.87294,                 1.3941,                0.63661,                0.64363,                0.66017,                0.37704,                 1.5052,                 1.2784,                 1.8907,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.1267,                0.88189,                 1.4126,                0.62171,                0.65279,                0.65913,                0.37413,                 1.5197,                 1.2542,                 1.8933,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.1277,                0.88084,                 1.4251,                 0.6799,                0.62614,                0.66049,                0.37116,                 1.5366,                 1.2532,                  1.931,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.1245,                0.88473,                 1.4056,                0.68217,                0.60783,                0.66345,                0.37453,                 1.5478,                 1.2782,                 1.9362,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.1209,                0.86953,                 1.4127,                0.61904,                 0.6353,                 0.6527,                0.36144,                 1.5679,                 1.3066,                 1.9854,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.1097,                0.86472,                  1.397,                0.69147,                 0.5995,                0.66781,                0.38417,                 1.4932,                 1.2293,                 1.8749,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.1162,                0.86814,                 1.4074,                0.66736,                0.59617,                0.65087,                0.36016,                 1.5362,                 1.2977,                 1.9325,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.1159,                 0.8731,                 1.4086,                0.64719,                0.62698,                0.66531,                0.37898,                 1.5138,                 1.2862,                 1.9123,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.1041,                0.86009,                 1.3971,                0.66009,                0.62864,                0.66032,                0.36504,                 1.5363,                 1.2765,                 1.9421,               0.008713,               0.008713,               0.008713
                    132,                 1.1027,                 0.8653,                 1.3986,                 0.6804,                0.62032,                0.65918,                0.37109,                   1.55,                 1.2475,                 1.9659,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.1035,                0.84853,                 1.3875,                0.65517,                0.61116,                0.65127,                0.36293,                 1.5212,                  1.276,                 1.9083,              0.0086932,              0.0086932,              0.0086932
                    134,                 1.0981,                0.85087,                 1.3806,                0.68092,                0.61125,                0.65667,                0.36897,                 1.5248,                 1.2557,                 1.9509,              0.0086833,              0.0086833,              0.0086833
                    135,                  1.105,                0.86729,                 1.4026,                0.67618,                0.58767,                0.64594,                0.36978,                 1.5271,                 1.3139,                 1.9167,              0.0086734,              0.0086734,              0.0086734
                    136,                 1.0919,                0.85322,                  1.391,                0.64965,                0.63114,                0.65699,                0.37571,                 1.5292,                  1.285,                  1.931,              0.0086635,              0.0086635,              0.0086635
                    137,                 1.0917,                0.83205,                 1.3781,                0.63865,                0.62948,                0.65018,                0.36853,                 1.4949,                 1.2926,                 1.9015,              0.0086536,              0.0086536,              0.0086536
                    138,                 1.0909,                0.84835,                  1.387,                0.63784,                0.64863,                0.64804,                0.36333,                 1.5261,                  1.315,                 1.9183,              0.0086437,              0.0086437,              0.0086437
                    139,                 1.0844,                0.83268,                 1.3768,                0.62558,                0.65112,                0.66945,                0.37614,                  1.534,                 1.2537,                 1.9235,              0.0086338,              0.0086338,              0.0086338
                    140,                   1.08,                0.83021,                  1.385,                0.65951,                0.62253,                0.64562,                0.36502,                 1.5329,                  1.313,                 1.9471,              0.0086239,              0.0086239,              0.0086239
                    141,                 1.0874,                0.84287,                 1.3918,                  0.649,                0.62045,                0.65352,                 0.3691,                 1.5252,                 1.2802,                 1.9408,               0.008614,               0.008614,               0.008614
                    142,                  1.088,                0.84279,                 1.3924,                0.67692,                0.60884,                0.65721,                0.37442,                 1.5141,                 1.2879,                 1.9224,              0.0086041,              0.0086041,              0.0086041
                    143,                 1.0872,                0.84534,                 1.3797,                0.66417,                0.63114,                0.64966,                0.36678,                 1.5403,                 1.2805,                 1.9274,              0.0085942,              0.0085942,              0.0085942
                    144,                 1.0744,                 0.8286,                  1.384,                0.65519,                0.64077,                0.66097,                 0.3738,                 1.5513,                  1.222,                 1.9967,              0.0085843,              0.0085843,              0.0085843
                    145,                 1.0709,                0.81519,                 1.3571,                0.69629,                0.62448,                0.66637,                0.37057,                   1.53,                 1.2696,                 1.9273,              0.0085744,              0.0085744,              0.0085744
